2025/09/11 13:39:01 Logger initialized. Subsequent logs will be written to log/server.log
2025/09/11 13:39:01 Attempting to connect to PostgreSQL at postgresql:5432
2025/09/11 13:39:01 Connected to PostgreSQL database successfully
2025/09/11 13:39:12 IP 201.199.236.161 alive status: false
2025/09/11 13:39:12 IP 199.240.47.6 alive status: false
2025/09/11 13:39:12 IP 48.96.76.191 alive status: false
2025/09/11 13:39:12 IP 98.240.106.163 alive status: true
2025/09/11 13:39:12 IP 248.221.114.32 alive status: false
2025/09/11 13:39:12 IP 149.147.27.62 alive status: false
2025/09/11 13:39:12 IP 148.169.208.42 alive status: false
2025/09/11 13:39:12 IP 10.88.135.50 alive status: false
2025/09/11 13:39:12 IP 106.183.200.117 alive status: true
2025/09/11 13:39:12 IP 180.55.66.214 alive status: true
2025/09/11 13:39:12 IP 207.6.177.139 alive status: true
2025/09/11 13:39:12 IP 31.204.47.23 alive status: false
2025/09/11 13:39:12 IP 13.51.48.93 alive status: true
2025/09/11 13:39:12 IP 104.72.67.135 alive status: true
2025/09/11 13:39:12 IP 169.186.134.93 alive status: false
2025/09/11 13:39:12 IP 5.32.233.141 alive status: false
2025/09/11 13:39:12 IP 247.144.195.23 alive status: false
2025/09/11 13:39:13 IP 142.139.233.193 alive status: false
2025/09/11 13:39:13 IP 8.79.157.68 alive status: false
2025/09/11 13:39:13 IP 198.168.137.117 alive status: true
2025/09/11 13:39:13 IP 253.88.187.226 alive status: false
2025/09/11 13:39:13 IP 34.112.39.61 alive status: true
2025/09/11 13:39:13 IP 63.42.185.226 alive status: true
2025/09/11 13:39:13 IP 157.222.97.65 alive status: false
2025/09/11 13:39:13 IP 73.227.185.91 alive status: true
2025/09/11 13:39:13 IP 159.95.23.206 alive status: false
2025/09/11 13:39:13 IP 248.251.235.3 alive status: false
2025/09/11 13:39:13 IP 147.53.254.231 alive status: false
2025/09/11 13:39:13 IP 133.207.217.75 alive status: true
2025/09/11 13:39:13 IP 72.189.6.141 alive status: true
2025/09/11 13:39:13 IP 227.79.197.232 alive status: false
2025/09/11 13:39:13 IP 150.183.165.121 alive status: false
2025/09/11 13:39:13 IP 202.48.249.38 alive status: false
2025/09/11 13:39:13 IP 27.177.156.243 alive status: false
2025/09/11 13:39:13 IP 44.218.131.157 alive status: true
2025/09/11 13:39:13 IP 78.253.37.153 alive status: false
2025/09/11 13:39:13 IP 94.127.228.115 alive status: false
2025/09/11 13:39:13 IP 166.15.137.59 alive status: false
2025/09/11 13:39:13 IP 225.18.135.151 alive status: false
2025/09/11 13:39:13 IP 146.223.107.35 alive status: false
2025/09/11 13:39:13 IP 205.255.154.74 alive status: false
2025/09/11 13:39:13 IP 160.38.223.51 alive status: false
2025/09/11 13:39:13 IP 30.109.115.233 alive status: false
2025/09/11 13:39:13 IP 249.155.178.213 alive status: false
2025/09/11 13:39:13 IP 234.184.48.67 alive status: false
2025/09/11 13:39:13 IP 219.140.49.86 alive status: false
2025/09/11 13:39:13 IP 236.13.87.154 alive status: false
2025/09/11 13:39:13 IP 122.158.214.222 alive status: false
2025/09/11 13:39:13 IP 149.110.205.6 alive status: false
2025/09/11 13:39:13 IP 121.162.120.245 alive status: false
2025/09/11 13:39:13 IP 114.249.203.204 alive status: false
2025/09/11 13:39:13 IP 247.131.198.130 alive status: false
2025/09/11 13:39:13 IP 186.34.212.191 alive status: false
2025/09/11 13:39:13 IP 250.140.86.64 alive status: false
2025/09/11 13:39:13 IP 128.4.233.26 alive status: true
2025/09/11 13:39:13 IP 7.226.48.138 alive status: false
2025/09/11 13:39:13 IP 169.71.196.140 alive status: false
2025/09/11 13:39:13 IP 161.173.156.184 alive status: true
2025/09/11 13:39:13 IP 195.129.41.63 alive status: false
2025/09/11 13:39:13 IP 184.59.141.255 alive status: true
2025/09/11 13:39:13 IP 119.155.170.236 alive status: false
2025/09/11 13:39:13 IP 26.65.150.66 alive status: false
2025/09/11 13:39:13 IP 117.21.150.156 alive status: false
2025/09/11 13:39:13 IP 59.6.185.149 alive status: false
2025/09/11 13:39:13 IP 171.69.211.4 alive status: false
2025/09/11 13:39:13 IP 253.60.191.143 alive status: false
2025/09/11 13:39:13 IP 139.85.190.252 alive status: false
2025/09/11 13:39:13 IP 123.74.169.197 alive status: false
2025/09/11 13:39:13 IP 24.106.53.58 alive status: true
2025/09/11 13:39:13 IP 187.220.191.105 alive status: true
2025/09/11 13:39:13 IP 224.82.62.220 alive status: false
2025/09/11 13:39:13 IP 183.127.40.161 alive status: false
2025/09/11 13:39:13 IP 232.132.240.114 alive status: false
2025/09/11 13:39:13 IP 64.66.182.239 alive status: false
2025/09/11 13:39:13 IP 154.54.252.76 alive status: false
2025/09/11 13:39:13 IP 161.217.133.22 alive status: false
2025/09/11 13:39:13 IP 161.246.119.140 alive status: false
2025/09/11 13:39:13 IP 43.27.251.157 alive status: false
2025/09/11 13:39:13 IP 34.170.121.32 alive status: true
2025/09/11 13:39:13 IP 222.133.41.66 alive status: false
2025/09/11 13:39:13 IP 2.178.138.22 alive status: false
2025/09/11 13:39:13 IP 210.178.162.105 alive status: false
2025/09/11 13:39:13 IP 7.187.12.25 alive status: false
2025/09/11 13:39:13 IP 99.98.4.118 alive status: true
2025/09/11 13:39:13 IP 121.137.246.172 alive status: false
2025/09/11 13:39:13 IP 188.32.102.118 alive status: true
2025/09/11 13:39:13 IP 120.80.109.26 alive status: false
2025/09/11 13:39:13 IP 88.222.184.0 alive status: false
2025/09/11 13:39:13 IP 157.189.17.140 alive status: false
2025/09/11 13:39:13 IP 153.19.173.123 alive status: false
2025/09/11 13:39:13 IP 171.198.214.162 alive status: false
2025/09/11 13:39:13 IP 166.182.40.205 alive status: false
2025/09/11 13:39:13 IP 190.8.150.99 alive status: false
2025/09/11 13:39:13 IP 53.223.169.164 alive status: false
2025/09/11 13:39:13 IP 25.47.213.16 alive status: false
2025/09/11 13:39:13 IP 22.79.95.238 alive status: false
2025/09/11 13:39:13 IP 39.186.162.21 alive status: false
2025/09/11 13:39:13 IP 151.239.100.20 alive status: false
2025/09/11 13:39:13 IP 196.252.190.146 alive status: false
2025/09/11 13:39:13 IP 71.1.121.29 alive status: true
2025/09/11 13:39:13 IP 111.61.9.67 alive status: false
2025/09/11 13:39:13 IP 175.175.98.116 alive status: false
2025/09/11 13:39:13 IP 187.255.231.252 alive status: true
2025/09/11 13:39:13 IP 151.11.217.219 alive status: false
2025/09/11 13:39:13 IP 10.132.235.103 alive status: false
2025/09/11 13:39:13 IP 243.137.163.236 alive status: false
2025/09/11 13:39:13 IP 106.0.97.67 alive status: false
2025/09/11 13:39:13 IP 7.40.92.62 alive status: false
2025/09/11 13:39:13 IP 36.115.248.106 alive status: false
2025/09/11 13:39:13 IP 16.126.122.226 alive status: false
2025/09/11 13:39:13 IP 120.11.60.27 alive status: false
2025/09/11 13:39:13 IP 219.166.95.190 alive status: false
2025/09/11 13:39:13 IP 247.68.53.148 alive status: false
2025/09/11 13:39:13 IP 50.198.217.97 alive status: false
2025/09/11 13:39:13 IP 68.90.19.249 alive status: true
2025/09/11 13:39:13 IP 249.253.26.242 alive status: false
2025/09/11 13:39:13 IP 32.42.178.246 alive status: false
2025/09/11 13:39:13 IP 116.111.110.165 alive status: false
2025/09/11 13:39:13 IP 227.13.41.108 alive status: false
2025/09/11 13:39:13 IP 209.5.244.210 alive status: false
2025/09/11 13:39:13 IP 200.175.37.168 alive status: true
2025/09/11 13:39:13 IP 117.28.128.2 alive status: true
2025/09/11 13:39:13 IP 29.173.193.48 alive status: false
2025/09/11 13:39:13 IP 120.76.235.152 alive status: false
2025/09/11 13:39:13 IP 5.243.49.121 alive status: false
2025/09/11 13:39:13 IP 213.116.236.255 alive status: false
2025/09/11 13:39:13 IP 216.121.84.211 alive status: false
2025/09/11 13:39:13 IP 110.49.228.102 alive status: false
2025/09/11 13:39:13 IP 181.230.210.142 alive status: true
2025/09/11 13:39:13 IP 252.145.199.5 alive status: false
2025/09/11 13:39:13 IP 196.236.251.92 alive status: false
2025/09/11 13:39:13 IP 158.202.14.223 alive status: false
2025/09/11 13:39:13 IP 246.192.168.32 alive status: false
2025/09/11 13:39:13 IP 10.96.91.128 alive status: false
2025/09/11 13:39:13 IP 235.207.215.49 alive status: false
2025/09/11 13:39:13 IP 98.70.154.89 alive status: false
2025/09/11 13:39:13 IP 50.181.48.249 alive status: true
2025/09/11 13:39:13 IP 121.133.133.27 alive status: false
2025/09/11 13:39:13 IP 253.184.26.128 alive status: false
2025/09/11 13:39:13 IP 206.172.102.150 alive status: true
2025/09/11 13:39:13 IP 186.144.57.86 alive status: true
2025/09/11 13:39:13 IP 125.222.93.70 alive status: false
2025/09/11 13:39:13 IP 169.43.165.20 alive status: false
2025/09/11 13:39:13 IP 27.131.2.106 alive status: true
2025/09/11 13:39:13 IP 220.31.148.41 alive status: true
2025/09/11 13:39:13 IP 11.95.177.120 alive status: false
2025/09/11 13:39:13 IP 62.98.195.30 alive status: true
2025/09/11 13:39:13 IP 186.75.216.164 alive status: false
2025/09/11 13:39:13 IP 61.128.230.47 alive status: false
2025/09/11 13:39:13 IP 18.21.226.37 alive status: false
2025/09/11 13:39:13 IP 228.9.163.235 alive status: false
2025/09/11 13:39:13 IP 248.128.239.60 alive status: false
2025/09/11 13:39:13 IP 45.146.140.7 alive status: false
2025/09/11 13:39:13 IP 212.71.193.109 alive status: false
2025/09/11 13:39:13 IP 7.167.207.7 alive status: false
2025/09/11 13:39:13 IP 53.142.150.160 alive status: false
2025/09/11 13:39:13 IP 112.136.249.77 alive status: true
2025/09/11 13:39:13 IP 253.181.241.84 alive status: false
2025/09/11 13:39:13 IP 228.240.73.6 alive status: false
2025/09/11 13:39:13 IP 112.23.77.227 alive status: false
2025/09/11 13:39:13 IP 195.173.73.13 alive status: true
2025/09/11 13:39:13 IP 78.116.229.147 alive status: true
2025/09/11 13:39:13 IP 202.207.118.27 alive status: false
2025/09/11 13:39:13 IP 16.110.197.216 alive status: false
2025/09/11 13:39:13 IP 95.67.4.119 alive status: true
2025/09/11 13:39:13 IP 175.151.146.107 alive status: false
2025/09/11 13:39:13 IP 85.81.241.164 alive status: false
2025/09/11 13:39:13 IP 177.90.163.72 alive status: false
2025/09/11 13:39:13 IP 242.18.133.66 alive status: false
2025/09/11 13:39:13 IP 16.176.136.54 alive status: true
2025/09/11 13:39:13 IP 110.59.191.88 alive status: false
2025/09/11 13:39:13 IP 140.240.70.35 alive status: false
2025/09/11 13:39:13 IP 61.38.92.51 alive status: false
2025/09/11 13:39:13 IP 253.102.118.189 alive status: false
2025/09/11 13:39:13 IP 208.166.72.107 alive status: false
2025/09/11 13:39:13 IP 22.191.238.188 alive status: false
2025/09/11 13:39:13 IP 95.159.234.159 alive status: true
2025/09/11 13:39:13 IP 117.65.189.57 alive status: false
2025/09/11 13:39:13 IP 240.80.80.2 alive status: false
2025/09/11 13:39:13 IP 182.127.130.186 alive status: true
2025/09/11 13:39:13 IP 56.227.134.96 alive status: false
2025/09/11 13:39:13 IP 175.113.95.234 alive status: false
2025/09/11 13:39:13 IP 98.97.101.19 alive status: true
